,yield_2y,yield_5y,yield_10y,yield_30y,slope_10y_2y,fpi,us_10y,vix,brent,repo_rate,cpi_inflation
count,58.0,58.0,58.0,58.0,58.0,54.0,58.0,58.0,58.0,58.0,39.0
mean,6.23,6.67,6.89,7.22,0.66,2.01,3.5,19.07,81.5,5.69,4.92
std,0.95,0.54,0.38,0.22,0.67,0.59,1.08,4.64,13.37,1.01,1.31
min,4.22,5.66,6.22,6.76,-0.04,1.31,1.24,12.67,62.54,4.0,2.15
25%,5.72,6.23,6.62,7.06,0.13,1.53,2.91,15.86,73.34,4.9,4.04
50%,6.67,6.79,6.87,7.21,0.35,1.8,3.94,17.84,80.12,6.0,4.98
75%,7.0,7.16,7.2,7.39,0.92,2.61,4.24,21.57,85.96,6.5,5.85
max,7.34,7.48,7.48,7.71,2.15,3.12,4.88,31.97,122.71,6.5,7.54
